package,test,result,log,elapsed_seconds,completed_runs
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/email_requires_csrf_before_invalid_fields,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/email_requires_csrf_before_malformed_json,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/email_requires_session_before_invalid_fields,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/email_requires_session_before_malformed_json,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/password_requires_csrf_before_invalid_fields,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/password_requires_csrf_before_malformed_json,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/password_requires_session_before_invalid_fields,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/password_requires_session_before_malformed_json,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/profile_requires_csrf_before_invalid_fields,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/profile_requires_csrf_before_malformed_json,pass,rcc-goose-t3-integration.jsonl,0.01,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/profile_requires_session_before_invalid_fields,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs/profile_requires_session_before_malformed_json,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountNormalizedUniquenessAndAtomicRegistration,pass,rcc-goose-t3-integration.jsonl,10.83,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountPasswordChangeRevokesAllSessions,pass,rcc-goose-t3-integration.jsonl,12.14,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountPersistedSessionDeadlines,pass,rcc-goose-t3-integration.jsonl,11.84,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountPersistedSessionDeadlines/nanoseconds_123456789,pass,rcc-goose-t3-integration.jsonl,0.39,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountPersistedSessionDeadlines/nanoseconds_999999999,pass,rcc-goose-t3-integration.jsonl,0.41,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountProfileChangesAffectOnlyCurrentAccount,pass,rcc-goose-t3-integration.jsonl,11.49,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountRateLimitsAcrossIPsAndWindows,pass,rcc-goose-t3-integration.jsonl,11.07,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountRegistrationCreatesCurrentIdentity,pass,rcc-goose-t3-integration.jsonl,10.88,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountRegistrationRateLimit,pass,rcc-goose-t3-integration.jsonl,9.23,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountSecurityChangesWinAgainstVerifiedLogin,pass,rcc-goose-t3-integration.jsonl,32.24,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountSecurityChangesWinAgainstVerifiedLogin/disable,pass,rcc-goose-t3-integration.jsonl,1.98,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountSecurityChangesWinAgainstVerifiedLogin/disable-enable,pass,rcc-goose-t3-integration.jsonl,0.78,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountSecurityChangesWinAgainstVerifiedLogin/logout-all,pass,rcc-goose-t3-integration.jsonl,1.06,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountSecurityChangesWinAgainstVerifiedLogin/no-security-change,pass,rcc-goose-t3-integration.jsonl,0.64,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountSecurityChangesWinAgainstVerifiedLogin/password-change,pass,rcc-goose-t3-integration.jsonl,0.73,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountSecurityChangesWinAgainstVerifiedLogin/reset-password,pass,rcc-goose-t3-integration.jsonl,2.56,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountSecurityChangesWinAgainstVerifiedLogin/same-password-change,pass,rcc-goose-t3-integration.jsonl,0.76,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountStoredSecretsAndAbsoluteExpiry,pass,rcc-goose-t3-integration.jsonl,11.74,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountSuccessClearsFailureCountAndIPLimit,pass,rcc-goose-t3-integration.jsonl,13.51,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountSuccessfulLoginPreservesOutstandingReservations,pass,rcc-goose-t3-integration.jsonl,11.84,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalManagedTableFixtureIsIdempotentAndImmediatelyUsable,pass,rcc-goose-t3-integration.jsonl,10.56,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalManagedTableFixtureRejectsIncompatibleExistingTableWithoutAssignment,pass,rcc-goose-t3-integration.jsonl,12.24,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalManagedTableFixtureRejectsLifecycleConflictsWithoutReactivation,pass,rcc-goose-t3-integration.jsonl,13.16,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMaintainerBootstrapsAdministratorAndAssignsRoles,pass,rcc-goose-t3-integration.jsonl,14.62,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationAddFailsClosedAndUsesTheLatestPolicySnapshot,pass,rcc-goose-t3-integration.jsonl,11.21,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationAddFailsClosedForInvalidLivePolicyAndSchema,pass,rcc-goose-t3-integration.jsonl,14.87,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationAddFailsClosedWhenPolicyCatalogIsUnavailable,pass,rcc-goose-t3-integration.jsonl,12.91,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyAddsRowAndReturnsJSONStringID,pass,rcc-goose-t3-integration.jsonl,14.08,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyAutoFillUsesAccountOperatorAndDatabaseTimeAndRejectsManagedInput,pass,rcc-goose-t3-integration.jsonl,10.7,1
